Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773788423,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773788424,2,,Aggregated,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,0,310.0,309.0219170007913,307.4036670004716,310.64016700111097,131.5
1773788425,4,,Aggregated,0.000000,0.000000,310,310,310,400,400,400,400,400,400,400,400,5,0,310.0,240.81000860023778,59.65500000456814,396.598166997137,119.8
1773788426,6,,Aggregated,2.000000,0.000000,300,310,310,310,400,400,400,400,400,400,400,8,0,240.0,233.63382312527392,59.65500000456814,396.598166997137,120.625
1773788427,8,,Aggregated,2.000000,0.000000,280,310,310,310,340,400,400,400,400,400,400,11,0,280.0,239.4782918179937,59.65500000456814,396.598166997137,121.0
1773788428,10,,Aggregated,2.333333,0.000000,280,310,400,440,460,520,520,520,520,520,520,19,0,280.0,280.1875856312108,59.65500000456814,520.6042080026236,120.89473684210526
1773788429,12,,Aggregated,2.500000,0.000000,300,340,400,440,460,520,590,590,590,590,590,24,0,280.0,297.3673090828015,59.65500000456814,588.9122919979854,123.20833333333333
1773788430,14,,Aggregated,2.800000,0.000000,300,380,440,460,540,580,590,590,590,590,590,29,0,300.0,321.53018113729496,59.65500000456814,588.9122919979854,124.72413793103448
1773788431,16,,Aggregated,3.333333,0.000000,290,380,440,460,540,580,590,590,590,590,590,38,0,280.0,315.8406228942208,55.648207999183796,588.9122919979854,124.07894736842105
1773788432,18,,Aggregated,3.714286,0.000000,280,380,450,510,540,590,890,890,890,890,890,45,0,280.0,331.4339453994762,55.648207999183796,889.016166998772,124.64444444444445
1773788433,20,,Aggregated,4.125000,0.000000,310,430,510,530,720,760,890,1000,1000,1000,1000,52,0,300.0,369.53463946114283,55.648207999183796,1019.0175000025192,125.0576923076923
1773788434,20,,Aggregated,4.666667,0.000000,340,460,540,700,890,1200,1300,1800,1800,1800,1800,61,0,340.0,452.62541331123697,55.648207999183796,1773.6523749990738,124.11475409836065
1773788435,20,,Aggregated,4.600000,0.000000,350,480,570,720,890,1200,1300,1800,1800,1800,1800,69,0,350.0,449.18296743465663,55.648207999183796,1773.6523749990738,124.15942028985508
1773788436,20,,Aggregated,5.000000,0.000000,350,480,540,590,860,1200,1300,1800,1800,1800,1800,76,0,340.0,443.4035241710693,55.648207999183796,1773.6523749990738,124.48684210526316
1773788437,20,,Aggregated,5.900000,0.000000,380,510,580,730,890,1000,1300,1800,1800,1800,1800,83,0,380.0,461.85768175902086,55.648207999183796,1773.6523749990738,124.3855421686747
1773788438,20,,Aggregated,6.400000,0.000000,340,460,540,720,890,1000,1300,1800,1800,1800,1800,90,0,340.0,444.2504777889149,55.648207999183796,1773.6523749990738,124.31111111111112
1773788439,20,,Aggregated,6.600000,0.000000,360,530,590,740,900,1000,1300,1800,1800,1800,1800,97,0,360.0,463.20321696907035,55.648207999183796,1773.6523749990738,124.55670103092784
1773788440,20,,Aggregated,7.400000,0.000000,380,530,700,760,970,1200,1300,1400,1800,1800,1800,102,0,360.0,480.98892161771585,55.648207999183796,1773.6523749990738,124.62745098039215
1773788441,20,,Aggregated,7.300000,0.000000,410,540,740,800,1100,1300,1700,1700,1800,1800,1800,111,0,410.0,524.4353975856054,55.648207999183796,1773.6523749990738,125.22522522522523
1773788442,20,,Aggregated,7.500000,0.000000,410,580,760,890,1100,1300,1700,1700,1800,1800,1800,119,0,410.0,542.7936156050565,55.648207999183796,1773.6523749990738,125.68067226890756
1773788443,20,,Aggregated,7.500000,0.000000,440,580,800,930,1200,1300,1700,1700,1800,1800,1800,127,0,440.0,559.7560945434237,55.255917002796195,1773.6523749990738,125.60629921259843
1773788444,20,,Aggregated,7.000000,0.000000,440,660,850,940,1200,1400,1700,1700,1800,1800,1800,134,0,440.0,567.1642195822587,55.255917002796195,1773.6523749990738,125.71641791044776
1773788445,20,,Aggregated,7.400000,0.000000,410,580,800,920,1200,1300,1700,1700,1800,1800,1800,142,0,410.0,548.9434454720537,55.255917002796195,1773.6523749990738,125.43661971830986
1773788446,20,,Aggregated,7.500000,0.000000,440,660,770,890,1100,1300,1500,1700,1800,1800,1800,152,0,440.0,552.9678802437335,55.255917002796195,1773.6523749990738,125.47368421052632
1773788447,20,,Aggregated,7.300000,0.000000,430,630,760,880,1100,1300,1500,1700,1800,1800,1800,157,0,430.0,544.7775791148925,55.255917002796195,1773.6523749990738,125.29936305732484
1773788448,20,,Aggregated,7.300000,0.000000,410,580,750,860,1100,1300,1500,1700,1800,1800,1800,165,0,410.0,537.9185826003032,55.255917002796195,1773.6523749990738,125.44242424242424
1773788449,20,,Aggregated,8.000000,0.000000,410,580,740,830,1100,1300,1500,1700,1800,1800,1800,176,0,410.0,528.2169555173988,55.255917002796195,1773.6523749990738,125.32954545454545
1773788450,20,,Aggregated,7.200000,0.000000,410,580,730,800,1100,1300,1500,1700,1800,1800,1800,181,0,410.0,524.3382967627596,55.255917002796195,1773.6523749990738,125.50828729281768
1773788451,20,,Aggregated,7.500000,0.000000,400,570,730,770,1100,1300,1500,1700,1800,1800,1800,188,0,400.0,516.8445503407364,55.255917002796195,1773.6523749990738,125.42553191489361
1773788452,20,,Aggregated,7.600000,0.000000,410,580,740,840,1100,1300,1500,1700,1800,1800,1800,198,0,410.0,527.3342708589755,55.255917002796195,1773.6523749990738,125.3030303030303
1773788453,20,,Aggregated,7.700000,0.000000,430,590,730,800,1100,1300,1500,1700,1800,1800,1800,206,0,410.0,525.7963645101007,55.255917002796195,1773.6523749990738,125.4126213592233
1773788454,20,,Aggregated,7.700000,0.000000,410,580,730,770,1100,1300,1500,1700,1800,1800,1800,214,0,410.0,516.2059503741955,55.127749998064246,1773.6523749990738,125.23831775700934
1773788455,20,,Aggregated,8.100000,0.000000,410,580,730,760,1100,1300,1500,1700,1800,1800,1800,220,0,410.0,514.1672640458802,55.127749998064246,1773.6523749990738,125.42272727272727
1773788456,20,,Aggregated,8.100000,0.000000,440,590,740,840,1100,1300,1500,1700,1800,1800,1800,232,0,430.0,535.1314264056593,55.127749998064246,1773.6523749990738,125.37068965517241
1773788457,20,,Aggregated,7.900000,0.000000,440,590,730,830,1100,1300,1500,1700,1800,1800,1800,240,0,430.0,530.3463969214135,55.127749998064246,1773.6523749990738,125.34166666666667
1773788458,20,,Aggregated,7.700000,0.000000,410,580,730,800,1100,1300,1500,1700,1800,1800,1800,247,0,410.0,521.5680503082518,55.127749998064246,1773.6523749990738,125.28744939271255
1773788459,20,,Aggregated,7.900000,0.000000,410,580,730,770,1100,1300,1500,1700,1800,1800,1800,252,0,400.0,517.5724413418229,55.127749998064246,1773.6523749990738,125.3015873015873
1773788460,20,,Aggregated,8.300000,0.000000,400,580,730,820,1100,1300,1500,1700,1800,1800,1800,259,0,400.0,517.816552969666,55.127749998064246,1773.6523749990738,125.25096525096525
1773788461,20,,Aggregated,8.200000,0.000000,410,590,740,860,1100,1300,1700,1800,1800,1800,1800,271,0,410.0,541.924519100173,55.127749998064246,1825.854665999941,125.21771217712177
1773788462,20,,Aggregated,7.900000,0.000000,410,580,740,860,1100,1300,1700,1800,1800,1800,1800,278,0,410.0,537.3322395472517,55.127749998064246,1825.854665999941,125.38489208633094
1773788463,20,,Aggregated,7.500000,0.000000,430,590,730,840,1100,1300,1700,1800,1800,1800,1800,286,0,430.0,539.1991036229012,55.127749998064246,1825.854665999941,125.46503496503496
1773788464,20,,Aggregated,8.400000,0.000000,440,610,740,860,1100,1300,1700,1800,1800,1800,1800,293,0,440.0,545.5386847615799,55.127749998064246,1825.854665999941,125.62116040955631
1773788465,20,,Aggregated,7.700000,0.000000,440,620,750,880,1200,1400,1700,1800,1800,1800,1800,299,0,440.0,552.1949748098356,55.127749998064246,1825.854665999941,125.74916387959867
1773788466,20,,Aggregated,7.900000,0.000000,440,630,750,890,1200,1400,1600,1700,1800,1800,1800,304,0,440.0,555.3284369840472,55.127749998064246,1825.854665999941,125.7532894736842
1773788467,20,,Aggregated,7.800000,0.000000,450,650,770,910,1200,1400,1600,1700,1800,1800,1800,315,0,450.0,566.0982747687884,55.127749998064246,1825.854665999941,125.87301587301587
1773788468,20,,Aggregated,8.100000,0.000000,450,650,760,900,1200,1400,1600,1700,1800,1800,1800,321,0,450.0,562.946572978698,55.127749998064246,1825.854665999941,125.89408099688474
1773788469,20,,Aggregated,7.400000,0.000000,450,630,750,890,1200,1400,1600,1700,1800,1800,1800,330,0,450.0,558.5428485095855,55.127749998064246,1825.854665999941,125.87575757575758
1773788470,20,,Aggregated,7.200000,0.000000,450,630,750,880,1100,1400,1600,1700,1800,1800,1800,338,0,440.0,554.9030240596555,55.127749998064246,1825.854665999941,125.92603550295858
1773788471,20,,Aggregated,7.400000,0.000000,440,600,740,870,1100,1300,1600,1700,1800,1800,1800,345,0,440.0,551.2358864932153,55.127749998064246,1825.854665999941,126.0463768115942
1773788472,20,,Aggregated,7.600000,0.000000,440,590,740,850,1100,1300,1500,1700,1800,1800,1800,356,0,440.0,542.6308567616871,55.127749998064246,1825.854665999941,125.9747191011236
1773788473,20,,Aggregated,7.900000,0.000000,430,590,730,840,1100,1300,1500,1700,1800,1800,1800,363,0,430.0,538.789500364101,55.127749998064246,1825.854665999941,125.92561983471074
1773788474,20,,Aggregated,7.500000,0.000000,420,580,730,830,1100,1300,1500,1700,1800,1800,1800,371,0,420.0,531.386211383192,55.127749998064246,1825.854665999941,125.81401617250674
1773788475,20,,Aggregated,7.800000,0.000000,420,580,720,820,1100,1300,1500,1700,1800,1800,1800,378,0,410.0,528.6846332835141,55.127749998064246,1825.854665999941,125.84656084656085
1773788476,20,,Aggregated,7.700000,0.000000,420,580,720,780,1100,1300,1500,1700,1800,1800,1800,387,0,420.0,527.5643036309124,55.127749998064246,1825.854665999941,125.83462532299741
1773788477,20,,Aggregated,8.000000,0.000000,420,580,720,780,1100,1300,1500,1700,1800,1800,1800,397,0,420.0,527.6003151893266,55.127749998064246,1825.854665999941,125.76070528967254
1773788478,20,,Aggregated,7.800000,0.000000,410,580,710,770,1100,1300,1500,1700,1800,1800,1800,403,0,410.0,524.0819116132986,55.127749998064246,1825.854665999941,125.77915632754342
